types,counts,probs,total_unique
Monica,495,2.934270561085882e-4,18029
Siena,495,2.934270561085882e-4,18029
Marilyn,494,2.928342741770557e-4,18029
Reyna,494,2.928342741770557e-4,18029
Kyra,491,2.910559283824582e-4,18029
Lilian,491,2.910559283824582e-4,18029
Jamie,488,2.8927758258786066e-4,18029
Melany,488,2.8927758258786066e-4,18029
Alaya,485,2.8749923679326315e-4,18029
Ariya,485,2.8749923679326315e-4,18029
Kelly,484,2.8690645486173066e-4,18029
Rosie,481,2.8512810906713314e-4,18029
Adley,480,2.8453532713560066e-4,18029
Dream,480,2.8453532713560066e-4,18029
Jaylah,480,2.8453532713560066e-4,18029
Laurel,480,2.8453532713560066e-4,18029
Jazmine,478,2.8334976327253563e-4,18029
Mina,477,2.8275698134100314e-4,18029
Karla,476,2.8216419940947066e-4,18029
Bailee,475,2.815714174779381e-4,18029
Aubrie,474,2.8097863554640563e-4,18029
Katalina,472,2.7979307168334066e-4,18029
Melina,471,2.792002897518081e-4,18029
Harlee,470,2.7860750782027563e-4,18029
Elliot,469,2.7801472588874314e-4,18029
Hayley,469,2.7801472588874314e-4,18029
Elaine,468,2.7742194395721065e-4,18029
Karen,468,2.7742194395721065e-4,18029
Dallas,467,2.768291620256781e-4,18029
Irene,464,2.750508162310806e-4,18029
Lylah,464,2.750508162310806e-4,18029
Ivory,462,2.738652523680156e-4,18029
Chaya,461,2.7327247043648314e-4,18029
Rosa,461,2.7327247043648314e-4,18029
Aleena,460,2.726796885049506e-4,18029
Braelyn,459,2.720869065734181e-4,18029
Nola,458,2.714941246418856e-4,18029
Alma,455,2.697157788472881e-4,18029
Leyla,455,2.697157788472881e-4,18029
Pearl,455,2.697157788472881e-4,18029
Addyson,454,2.691229969157556e-4,18029
Roselyn,454,2.691229969157556e-4,18029
Lacey,453,2.685302149842231e-4,18029
Lennox,453,2.685302149842231e-4,18029
Reina,453,2.685302149842231e-4,18029
Aurelia,450,2.667518691896256e-4,18029
Noa,448,2.655663053265606e-4,18029
Janiyah,447,2.649735233950281e-4,18029
Jessie,447,2.649735233950281e-4,18029
