types,counts,probs,total_unique
Dewey,225,1.2941543908932945e-4,4742
Louie,224,1.2884025936004353e-4,4742
Rogelio,224,1.2884025936004353e-4,4742
Rickie,223,1.2826507963075763e-4,4742
Vince,222,1.276898999014717e-4,4742
Emanuel,220,1.265395404428999e-4,4742
Ervin,219,1.2596436071361398e-4,4742
Deon,218,1.2538918098432808e-4,4742
Bert,217,1.2481400125504216e-4,4742
Derick,216,1.2423882152575626e-4,4742
Roman,216,1.2423882152575626e-4,4742
Lane,215,1.2366364179647036e-4,4742
Owen,215,1.2366364179647036e-4,4742
Blair,214,1.2308846206718444e-4,4742
Jefferson,214,1.2308846206718444e-4,4742
Robb,214,1.2308846206718444e-4,4742
Will,214,1.2308846206718444e-4,4742
Elliott,213,1.2251328233789854e-4,4742
Alphonso,212,1.2193810260861263e-4,4742
Cody,212,1.2193810260861263e-4,4742
Kraig,212,1.2193810260861263e-4,4742
Miles,211,1.2136292287932672e-4,4742
Gustavo,210,1.2078774315004081e-4,4742
Xavier,210,1.2078774315004081e-4,4742
Gerry,209,1.202125634207549e-4,4742
Aubrey,208,1.19637383691469e-4,4742
Kristopher,208,1.19637383691469e-4,4742
Daron,207,1.1906220396218309e-4,4742
Ronny,207,1.1906220396218309e-4,4742
Lonny,205,1.1791184450361126e-4,4742
Denny,204,1.1733666477432535e-4,4742
Tad,204,1.1733666477432535e-4,4742
Ellis,203,1.1676148504503945e-4,4742
Thaddeus,203,1.1676148504503945e-4,4742
Brady,199,1.1446076612789581e-4,4742
Shon,196,1.1273522694003809e-4,4742
Austin,195,1.1216004721075218e-4,4742
Bryce,195,1.1216004721075218e-4,4742
Freddy,195,1.1216004721075218e-4,4742
Rufus,194,1.1158486748146627e-4,4742
Homer,193,1.1100968775218037e-4,4742
Phil,193,1.1100968775218037e-4,4742
Buddy,191,1.0985932829360855e-4,4742
Kirby,191,1.0985932829360855e-4,4742
Emmett,189,1.0870896883503672e-4,4742
Garland,189,1.0870896883503672e-4,4742
Gavin,189,1.0870896883503672e-4,4742
Reggie,189,1.0870896883503672e-4,4742
Jordan,188,1.0813378910575082e-4,4742
Pierre,187,1.0755860937646491e-4,4742
Anton,186,1.06983429647179e-4,4742
Royce,186,1.06983429647179e-4,4742
Courtney,185,1.0640824991789309e-4,4742
Deron,185,1.0640824991789309e-4,4742
Elbert,185,1.0640824991789309e-4,4742
Ernie,184,1.0583307018860718e-4,4742
Joesph,184,1.0583307018860718e-4,4742
Chadwick,182,1.0468271073003537e-4,4742
Edmond,182,1.0468271073003537e-4,4742
Fabian,182,1.0468271073003537e-4,4742
Galen,182,1.0468271073003537e-4,4742
Marlin,181,1.0410753100074946e-4,4742
Percy,181,1.0410753100074946e-4,4742
Reuben,181,1.0410753100074946e-4,4742
Wilbur,180,1.0353235127146355e-4,4742
Donny,177,1.0180681208360583e-4,4742
Jan,177,1.0180681208360583e-4,4742
Quentin,176,1.0123163235431992e-4,4742
Richie,176,1.0123163235431992e-4,4742
Lisa,175,1.00656452625034e-4,4742
Noah,175,1.00656452625034e-4,4742
Wilfredo,175,1.00656452625034e-4,4742
Carroll,172,9.893091343717628e-5,4742
Darius,172,9.893091343717628e-5,4742
Ethan,172,9.893091343717628e-5,4742
Randell,171,9.835573370789037e-5,4742
Rory,171,9.835573370789037e-5,4742
Ed,170,9.778055397860446e-5,4742
Ashley,169,9.720537424931855e-5,4742
Cornell,169,9.720537424931855e-5,4742
Michel,169,9.720537424931855e-5,4742
Moses,169,9.720537424931855e-5,4742
Nicolas,169,9.720537424931855e-5,4742
Sonny,169,9.720537424931855e-5,4742
Kelley,168,9.663019452003265e-5,4742
Jess,167,9.605501479074674e-5,4742
Efrain,166,9.547983506146083e-5,4742
Barton,165,9.490465533217492e-5,4742
Elias,165,9.490465533217492e-5,4742
Al,164,9.432947560288902e-5,4742
Stefan,164,9.432947560288902e-5,4742
Marcel,162,9.31791161443172e-5,4742
Russel,162,9.31791161443172e-5,4742
Theron,162,9.31791161443172e-5,4742
Cleveland,161,9.260393641503129e-5,4742
Devon,161,9.260393641503129e-5,4742
Winston,161,9.260393641503129e-5,4742
Emilio,160,9.202875668574537e-5,4742
Shayne,160,9.202875668574537e-5,4742
Benito,159,9.145357695645948e-5,4742
Irvin,159,9.145357695645948e-5,4742
Saul,159,9.145357695645948e-5,4742
Erin,158,9.087839722717356e-5,4742
Lon,158,9.087839722717356e-5,4742
Hugo,156,8.972803776860174e-5,4742
Brenton,155,8.915285803931583e-5,4742
Rocco,155,8.915285803931583e-5,4742
Santos,155,8.915285803931583e-5,4742
Amos,154,8.857767831002993e-5,4742
Avery,154,8.857767831002993e-5,4742
Billie,153,8.800249858074402e-5,4742
Carmen,153,8.800249858074402e-5,4742
Santiago,153,8.800249858074402e-5,4742
Antony,150,8.627695939288629e-5,4742
Rodrick,150,8.627695939288629e-5,4742
Danial,149,8.570177966360039e-5,4742
Eddy,148,8.512659993431448e-5,4742
Woodrow,148,8.512659993431448e-5,4742
Brant,147,8.455142020502857e-5,4742
Dante,147,8.455142020502857e-5,4742
Lorne,147,8.455142020502857e-5,4742
Sandy,147,8.455142020502857e-5,4742
Darrick,146,8.397624047574266e-5,4742
Nolan,146,8.397624047574266e-5,4742
Domingo,145,8.340106074645674e-5,4742
Sammie,145,8.340106074645674e-5,4742
Kennith,144,8.282588101717085e-5,4742
Keven,144,8.282588101717085e-5,4742
Leonardo,144,8.282588101717085e-5,4742
Trenton,144,8.282588101717085e-5,4742
Kirt,143,8.225070128788493e-5,4742
Nicky,143,8.225070128788493e-5,4742
Shelby,143,8.225070128788493e-5,4742
Reed,142,8.167552155859902e-5,4742
Andrea,141,8.110034182931311e-5,4742
Harlan,141,8.110034182931311e-5,4742
Ward,141,8.110034182931311e-5,4742
Gino,140,8.05251621000272e-5,4742
Eli,139,7.99499823707413e-5,4742
Elvis,139,7.99499823707413e-5,4742
Humberto,139,7.99499823707413e-5,4742
Ignacio,138,7.937480264145539e-5,4742
Levi,138,7.937480264145539e-5,4742
Elliot,137,7.879962291216948e-5,4742
Shelton,137,7.879962291216948e-5,4742
Merle,136,7.822444318288357e-5,4742
Frederic,135,7.764926345359766e-5,4742
Jacques,135,7.764926345359766e-5,4742
Jayson,135,7.764926345359766e-5,4742
Josh,135,7.764926345359766e-5,4742
Edwardo,134,7.707408372431176e-5,4742
Hank,134,7.707408372431176e-5,4742
Taylor,134,7.707408372431176e-5,4742
